what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200902130801,org.eclipse.cdt.managedbuilder.gnu.ui,1258732699551
stopped,bundle,org.eclipse.cdt.managedbuilder.core,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.core,1258732699551
stopped,bundle,org.eclipse.cdt.make.core,5.0.2.200902130801,org.eclipse.cdt.make.core,1258732699551
stopped,bundle,org.eclipse.cdt.core,5.0.2.200902130801,org.eclipse.cdt.core,1258732699551
stopped,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1258732699551
stopped,bundle,org.eclipse.jst.jsp.core,1.2.121.v200901290830,org.eclipse.jst.jsp.core,1258732699551
stopped,bundle,org.eclipse.pde.api.tools,1.0.0.v20081117_r342,org.eclipse.pde.api.tools,1258732699551
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotation.model,1.1.102.v200805140020,org.eclipse.jst.j2ee.ejb.annotation.model,1258732699551
stopped,bundle,org.eclipse.jst.ws,1.0.304.v200805140230,org.eclipse.jst.ws,1258732699551
stopped,bundle,org.eclipse.jem.beaninfo,2.0.200.v200811261206,org.eclipse.jem.beaninfo,1258732699551
stopped,bundle,org.eclipse.jst.jee.ejb,1.0.102.v200810230722,org.eclipse.jst.jee.ejb,1258732699551
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,org.eclipse.jst.ws.axis.consumption.core,1258732699551
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,org.eclipse.jst.ws.axis2.core,1258732699551
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.307.v200811220753,org.eclipse.jst.ws.consumption,1258732699567
stopped,bundle,org.eclipse.jst.ws,1.0.307.v200901142050,org.eclipse.jst.ws,1258732699567
stopped,bundle,org.eclipse.jst.j2ee.ejb,1.1.203.v200811060500,org.eclipse.jst.j2ee.ejb,1258732699567
stopped,bundle,org.eclipse.jst.jee.web,1.0.101.v200810230738,org.eclipse.jst.jee.web,1258732699567
stopped,bundle,org.eclipse.jst.j2ee.web,1.1.203.v200901290400,org.eclipse.jst.j2ee.web,1258732699567
stopped,bundle,org.eclipse.jst.jee,1.0.103.v200901220530,org.eclipse.jst.jee,1258732699567
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.203.v200811060900,org.eclipse.jst.j2ee.jca,1258732699567
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.201.v200807240600,org.eclipse.jst.j2ee.webservice,1258732699567
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.1.1.v20090129,org.eclipse.jst.jsf.facesconfig,1258732699567
stopped,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1258732699567
stopped,bundle,org.eclipse.jst.common.frameworks,1.1.201.v200810161330,org.eclipse.jst.common.frameworks,1258732699567
stopped,bundle,org.eclipse.jem.workbench,2.0.102.v200810230530,org.eclipse.jem.workbench,1258732699567
