what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.enablement.ibm.informix.ui,1.0.1.v200806260315,org.eclipse.datatools.enablement.ibm.informix.ui,1258724940372
stopped,bundle,org.eclipse.datatools.enablement.msft.sqlserver.ui,1.0.1.v200808222228,org.eclipse.datatools.enablement.msft.sqlserver.ui,1258724940372
stopped,bundle,org.eclipse.datatools.enablement.oracle.ui,1.0.1.v200806260315,org.eclipse.datatools.enablement.oracle.ui,1258724940372
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.0.0.v200812121520,org.eclipse.datatools.sqltools.plan,1258724940372
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.0.0.v200812121740,org.eclipse.datatools.sqltools.common.ui,1258724940372
stopped,bundle,org.eclipse.datatools.connectivity.ui,1.1.3.v200901150027,org.eclipse.datatools.connectivity.ui,1258724940388
stopped,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1258724940388
stopped,bundle,org.eclipse.cdt.core.tests,5.0.1.200902130801,org.eclipse.cdt.core.tests,1258724940388
stopped,bundle,org.eclipse.cdt.debug.ui.tests,5.0.0.200902130801,org.eclipse.cdt.debug.ui.tests,1258724940388
stopped,bundle,org.eclipse.cdt.debug.mi.core,5.0.1.200902130801,org.eclipse.cdt.debug.mi.core,1258724940388
stopped,bundle,org.eclipse.cdt.debug.core,5.0.2.200902130801,org.eclipse.cdt.debug.core,1258724940388
stopped,bundle,org.eclipse.cdt.errorparsers.xlc,5.0.1.200902130801,org.eclipse.cdt.errorparsers.xlc,1258724940388
stopped,bundle,org.eclipse.cdt.managedbuilder.xlc.core,5.0.0.200902130801,org.eclipse.cdt.managedbuilder.xlc.core,1258724940388
stopped,bundle,org.eclipse.cdt.managedbuilder.core.tests,5.0.0.200902130801,org.eclipse.cdt.managedbuilder.core.tests,1258724940388
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200902130801,org.eclipse.cdt.managedbuilder.gnu.ui,1258724940388
stopped,bundle,org.eclipse.cdt.managedbuilder.core,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.core,1258724940388
stopped,bundle,org.eclipse.cdt.make.core,5.0.2.200902130801,org.eclipse.cdt.make.core,1258724940388
stopped,bundle,org.eclipse.cdt.core,5.0.2.200902130801,org.eclipse.cdt.core,1258724940388
stopped,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1258724940388
stopped,bundle,org.eclipse.jst.jsp.core,1.2.121.v200901290830,org.eclipse.jst.jsp.core,1258724940388
stopped,bundle,org.eclipse.pde.api.tools,1.0.0.v20081117_r342,org.eclipse.pde.api.tools,1258724940388
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotation.model,1.1.102.v200805140020,org.eclipse.jst.j2ee.ejb.annotation.model,1258724940388
stopped,bundle,org.eclipse.jst.ws,1.0.304.v200805140230,org.eclipse.jst.ws,1258724940388
stopped,bundle,org.eclipse.jem.beaninfo,2.0.200.v200811261206,org.eclipse.jem.beaninfo,1258724940388
stopped,bundle,org.eclipse.jst.jee.ejb,1.0.102.v200810230722,org.eclipse.jst.jee.ejb,1258724940388
