what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,org.eclipse.jst.ws.axis.consumption.core,1258724940403
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,org.eclipse.jst.ws.axis2.core,1258724940403
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.307.v200811220753,org.eclipse.jst.ws.consumption,1258724940403
stopped,bundle,org.eclipse.jst.ws,1.0.307.v200901142050,org.eclipse.jst.ws,1258724940403
stopped,bundle,org.eclipse.jst.j2ee.ejb,1.1.203.v200811060500,org.eclipse.jst.j2ee.ejb,1258724940403
stopped,bundle,org.eclipse.jst.jee.web,1.0.101.v200810230738,org.eclipse.jst.jee.web,1258724940403
stopped,bundle,org.eclipse.jst.j2ee.web,1.1.203.v200901290400,org.eclipse.jst.j2ee.web,1258724940403
stopped,bundle,org.eclipse.jst.jee,1.0.103.v200901220530,org.eclipse.jst.jee,1258724940403
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.203.v200811060900,org.eclipse.jst.j2ee.jca,1258724940403
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.201.v200807240600,org.eclipse.jst.j2ee.webservice,1258724940403
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.1.1.v20090129,org.eclipse.jst.jsf.facesconfig,1258724940403
stopped,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1258724940403
stopped,bundle,org.eclipse.jst.common.frameworks,1.1.201.v200810161330,org.eclipse.jst.common.frameworks,1258724940403
stopped,bundle,org.eclipse.jem.workbench,2.0.102.v200810230530,org.eclipse.jem.workbench,1258724940403
stopped,bundle,org.eclipse.jst.j2ee.core,1.1.203.v200901221030,org.eclipse.jst.j2ee.core,1258724940403
stopped,bundle,org.eclipse.jem,2.0.202.v200810282000,org.eclipse.jem,1258724940403
stopped,bundle,org.eclipse.jem.proxy,2.0.100.v200806051600,org.eclipse.jem.proxy,1258724940403
stopped,bundle,org.eclipse.pde.core,3.4.0.v20090202,org.eclipse.pde.core,1258724940403
stopped,bundle,org.eclipse.wst.jsdt.web.core,1.0.104.v200902121909,org.eclipse.wst.jsdt.web.core,1258724940403
stopped,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1258724940419
stopped,bundle,org.eclipse.wst.html.core,1.1.204.v200901141603,org.eclipse.wst.html.core,1258724940419
stopped,bundle,org.eclipse.wst.css.core,1.1.201.v200808072008,org.eclipse.wst.css.core,1258724940419
stopped,bundle,org.eclipse.wst.wsi,1.0.205.v200805140300,org.eclipse.wst.wsi,1258724940419
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.302.v200807240215,org.eclipse.wst.wsdl.validation,1258724940419
stopped,bundle,org.eclipse.wst.xsd.core,1.1.302.v200810020300,org.eclipse.wst.xsd.core,1258724940419
